age,work,edu,free_time,health,chores,category_else
1,0.25,1,0.75,0.5,0.25,0.25
10,0.25,1,0.75,0.5,0.25,0.25
100,0.25,0.25,0.75,1,0.5,0.5
101,0.25,0.25,0.75,1,0.5,0.5
102,0.25,0.25,0.75,1,0.5,0.5
103,0.25,0.25,0.75,1,0.5,0.5
104,0.25,0.25,0.75,1,0.5,0.5
105,0.25,0.25,0.75,1,0.5,0.5
106,0.25,0.25,0.75,1,0.5,0.5
107,0.25,0.25,0.75,1,0.5,0.5
108,0.25,0.25,0.75,1,0.5,0.5
109,0.25,0.25,0.75,1,0.5,0.5
11,0.25,1,0.75,0.5,0.25,0.25
110,0.25,0.25,0.75,1,0.5,0.5
111,0.25,0.25,0.75,1,0.5,0.5
112,0.25,0.25,0.75,1,0.5,0.5
113,0.25,0.25,0.75,1,0.5,0.5
114,0.25,0.25,0.75,1,0.5,0.5
115,0.25,0.25,0.75,1,0.5,0.5
116,0.25,0.25,0.75,1,0.5,0.5
117,0.25,0.25,0.75,1,0.5,0.5
118,0.25,0.25,0.75,1,0.5,0.5
119,0.25,0.25,0.75,1,0.5,0.5
12,0.25,1,0.75,0.5,0.25,0.25
120,0.25,0.25,0.75,1,0.5,0.5
121,0.25,0.25,0.75,1,0.5,0.5
122,0.25,0.25,0.75,1,0.5,0.5
123,0.25,0.25,0.75,1,0.5,0.5
124,0.25,0.25,0.75,1,0.5,0.5
125,0.25,0.25,0.75,1,0.5,0.5
126,0.25,0.25,0.75,1,0.5,0.5
127,0.25,0.25,0.75,1,0.5,0.5
128,0.25,0.25,0.75,1,0.5,0.5
129,0.25,0.25,0.75,1,0.5,0.5
13,0.25,1,0.75,0.5,0.25,0.25
130,0.25,0.25,0.75,1,0.5,0.5
131,0.25,0.25,0.75,1,0.5,0.5
132,0.25,0.25,0.75,1,0.5,0.5
133,0.25,0.25,0.75,1,0.5,0.5
134,0.25,0.25,0.75,1,0.5,0.5
135,0.25,0.25,0.75,1,0.5,0.5
136,0.25,0.25,0.75,1,0.5,0.5
137,0.25,0.25,0.75,1,0.5,0.5
138,0.25,0.25,0.75,1,0.5,0.5
139,0.25,0.25,0.75,1,0.5,0.5
14,0.25,1,0.75,0.5,0.25,0.25
140,0.25,0.25,0.75,1,0.5,0.5
15,0.25,1,0.75,0.5,0.25,0.25
16,0.25,1,0.75,0.5,0.25,0.25
17,0.25,1,0.75,0.5,0.25,0.25
18,0.25,1,0.75,0.5,0.25,0.25
19,0.25,1,0.75,0.5,0.25,0.25
2,0.25,1,0.75,0.5,0.25,0.25
20,0.5,0.75,0.75,0.5,0.25,0.5
21,0.5,0.75,0.75,0.5,0.25,0.5
22,0.5,0.75,0.75,0.5,0.25,0.5
23,0.5,0.75,0.75,0.5,0.25,0.5
24,0.5,0.75,0.75,0.5,0.25,0.5
25,0.75,0.5,0.5,0.75,0.5,0.25
26,0.75,0.5,0.5,0.75,0.5,0.25
27,0.75,0.5,0.5,0.75,0.5,0.25
28,0.75,0.5,0.5,0.75,0.5,0.25
29,0.75,0.5,0.5,0.75,0.5,0.25
3,0.25,1,0.75,0.5,0.25,0.25
30,0.75,0.5,0.5,0.75,0.5,0.25
31,0.75,0.5,0.5,0.75,0.5,0.25
32,0.75,0.5,0.5,0.75,0.5,0.25
33,0.75,0.5,0.5,0.75,0.5,0.25
34,0.75,0.5,0.5,0.75,0.5,0.25
35,1,0.5,0.25,0.75,0.75,0.25
36,1,0.5,0.25,0.75,0.75,0.25
37,1,0.5,0.25,0.75,0.75,0.25
38,1,0.5,0.25,0.75,0.75,0.25
39,1,0.5,0.25,0.75,0.75,0.25
4,0.25,1,0.75,0.5,0.25,0.25
40,1,0.5,0.25,0.75,0.75,0.25
41,1,0.5,0.25,0.75,0.75,0.25
42,1,0.5,0.25,0.75,0.75,0.25
43,1,0.5,0.25,0.75,0.75,0.25
44,1,0.5,0.25,0.75,0.75,0.25
45,0.75,0.25,0.25,1,0.75,0.5
46,0.75,0.25,0.25,1,0.75,0.5
47,0.75,0.25,0.25,1,0.75,0.5
48,0.75,0.25,0.25,1,0.75,0.5
49,0.75,0.25,0.25,1,0.75,0.5
5,0.25,1,0.75,0.5,0.25,0.25
50,0.75,0.25,0.25,1,0.75,0.5
51,0.75,0.25,0.25,1,0.75,0.5
52,0.75,0.25,0.25,1,0.75,0.5
53,0.75,0.25,0.25,1,0.75,0.5
54,0.75,0.25,0.25,1,0.75,0.5
55,0.5,0.25,0.5,1,0.75,0.25
56,0.5,0.25,0.5,1,0.75,0.25
57,0.5,0.25,0.5,1,0.75,0.25
58,0.5,0.25,0.5,1,0.75,0.25
59,0.5,0.25,0.5,1,0.75,0.25
6,0.25,1,0.75,0.5,0.25,0.25
60,0.5,0.25,0.5,1,0.75,0.25
61,0.5,0.25,0.5,1,0.75,0.25
62,0.5,0.25,0.5,1,0.75,0.25
63,0.5,0.25,0.5,1,0.75,0.25
64,0.5,0.25,0.5,1,0.75,0.25
65,0.25,0.25,0.75,1,0.5,0.5
66,0.25,0.25,0.75,1,0.5,0.5
67,0.25,0.25,0.75,1,0.5,0.5
68,0.25,0.25,0.75,1,0.5,0.5
69,0.25,0.25,0.75,1,0.5,0.5
7,0.25,1,0.75,0.5,0.25,0.25
70,0.25,0.25,0.75,1,0.5,0.5
71,0.25,0.25,0.75,1,0.5,0.5
72,0.25,0.25,0.75,1,0.5,0.5
73,0.25,0.25,0.75,1,0.5,0.5
74,0.25,0.25,0.75,1,0.5,0.5
75,0.25,0.25,0.75,1,0.5,0.5
76,0.25,0.25,0.75,1,0.5,0.5
77,0.25,0.25,0.75,1,0.5,0.5
78,0.25,0.25,0.75,1,0.5,0.5
79,0.25,0.25,0.75,1,0.5,0.5
8,0.25,1,0.75,0.5,0.25,0.25
80,0.25,0.25,0.75,1,0.5,0.5
81,0.25,0.25,0.75,1,0.5,0.5
82,0.25,0.25,0.75,1,0.5,0.5
83,0.25,0.25,0.75,1,0.5,0.5
84,0.25,0.25,0.75,1,0.5,0.5
85,0.25,0.25,0.75,1,0.5,0.5
86,0.25,0.25,0.75,1,0.5,0.5
87,0.25,0.25,0.75,1,0.5,0.5
88,0.25,0.25,0.75,1,0.5,0.5
89,0.25,0.25,0.75,1,0.5,0.5
9,0.25,1,0.75,0.5,0.25,0.25
90,0.25,0.25,0.75,1,0.5,0.5
91,0.25,0.25,0.75,1,0.5,0.5
92,0.25,0.25,0.75,1,0.5,0.5
93,0.25,0.25,0.75,1,0.5,0.5
94,0.25,0.25,0.75,1,0.5,0.5
95,0.25,0.25,0.75,1,0.5,0.5
96,0.25,0.25,0.75,1,0.5,0.5
97,0.25,0.25,0.75,1,0.5,0.5
98,0.25,0.25,0.75,1,0.5,0.5
99,0.25,0.25,0.75,1,0.5,0.5
